goos: darwin
goarch: arm64
pkg: skeen-kv
cpu: Apple M4
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    490168 ns/op	    8074 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    488845 ns/op	    8076 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    484915 ns/op	    8074 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    485205 ns/op	    8071 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    490053 ns/op	    8071 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    489708 ns/op	    8074 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    489275 ns/op	    8073 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    487015 ns/op	    8071 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=3-10         	   10000	    488440 ns/op	    8072 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    747519 ns/op	   16209 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    750729 ns/op	   16213 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    749339 ns/op	   16205 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    747214 ns/op	   16214 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    748514 ns/op	   16200 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    751566 ns/op	   16204 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    755399 ns/op	   16205 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    752300 ns/op	   16211 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    753809 ns/op	   16208 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=5-10         	   10000	    753748 ns/op	   16207 B/op	     110 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141773 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141947 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141659 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141713 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    143508 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141106 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141188 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141303 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141088 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=1-10     	   10000	    141001 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    350638 ns/op	    7214 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    351340 ns/op	    7211 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=strengthened/dst=2-10     	   10000	    349192 ns/op	    7212 B/op	      71 allocs/op
